Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,Totlen Fwd Pkts,Totlen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,
90.84.59.130-192.168.1.101-443-56671-6,192.168.1.101,56671,90.84.59.130,443,2014-08-08 01:02:23,8669259.0,1,1,1.0,0.0,1,1,1.0,0.0,0,0,0.0,0.0, , ,8669259.0,0.0,8669259.0,8669259.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.115350112391382,0.115350112391382,0,1,0.3333333333333333,0.4714045207910317,0.2222222222222222,
192.168.1.101-173.194.35.55-56677-443-6,173.194.35.55,443,192.168.1.101,56677,2014-08-08 01:02:23,1234029.0,9,1,2139.0,0.0,1384,0,237.66666666666666,414.46833413422553,0,0,0.0,0.0, , ,137114.33333333334,166787.7092767263,428999.0,2.0,915826.0,114478.25,163352.00348767536,428999.0,2.0,0,0,0,0,0,0,0,0,0,180,28,7.293183547550341,7.293183547550341,0,1384,194.45454545454547,385.9447354777303,148953.33884297524,
173.194.35.55-192.168.1.101-443-56676-6,192.168.1.101,56676,173.194.35.55,443,2014-08-08 01:02:23,1448.0,1,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0, , ,1448.0,0.0,1448.0,1448.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,690.6077348066298,690.6077348066298,0,0,0.0,0.0,0.0,
192.168.1.101-173.194.35.55-56678-443-6,173.194.35.55,443,192.168.1.101,56678,2014-08-08 01:02:23,915826.0,5,1,268.0,0.0,166,0,53.6,60.77038752550456,0,0,0.0,0.0, , ,183165.2,153692.96040144452,342727.0,2.0,583585.0,145896.25,150273.19929277975,342727.0,2.0,0,0,0,0,0,0,0,0,0,100,28,5.459552360382867,5.459552360382867,0,166,38.285714285714285,56.78207535510351,3224.204081632653,
67.252.131.62-192.168.1.101-55645-59656-17,192.168.1.101,59656,67.252.131.62,55645,2014-08-08 01:02:25,7077625.0,1,1,52.0,52.0,52,52,52.0,0.0,52,52,52.0,0.0, , ,7077625.0,0.0,7077625.0,7077625.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.14129033397502694,0.14129033397502694,52,52,52.0,0.0,0.0,
157.56.144.215-192.168.1.101-3544-59656-17,192.168.1.101,59656,157.56.144.215,3544,2014-08-08 01:02:25,0.0,0,1,0.0,60.0,0,0,0,0,60,60,60.0,0.0, , ,0,0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,60,60,60.0,0.0,0.0,
173.194.66.84-192.168.1.101-443-56652-6,192.168.1.101,56652,173.194.66.84,443,2014-08-08 01:02:25,0.0,0,1,0.0,0.0,0,0,0,0,0,0,0.0,0.0, , ,0,0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0.0,0.0,0.0,
90.84.59.91-192.168.1.101-80-56593-6,192.168.1.101,56593,90.84.59.91,80,2014-08-08 01:02:25,599818.0,1,1,0.0,1.0,0,0,0.0,0.0,1,1,1.0,0.0, , ,599818.0,0.0,599818.0,599818.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1.667172375620605,1.667172375620605,0,1,0.6666666666666666,0.4714045207910317,0.2222222222222222,
192.168.1.101-67.252.131.62-49690-55645-17,67.252.131.62,55645,192.168.1.101,49690,2014-08-08 01:02:25,6646373.0,3,1,176.0,52.0,64,52,58.666666666666664,4.988876515698614,52,52,52.0,0.0, , ,2215457.6666666665,2205644.7783570127,5332824.0,562840.0,6083533.0,3041766.5,2291057.5,5332824.0,750709.0,0,0,0,0,0,0,0,0,0,24,8,0.45137400504004216,0.45137400504004216,52,64,56.0,5.059644256269398,25.599999999999913,
192.168.1.101-90.84.59.91-56593-80-6,90.84.59.91,80,192.168.1.101,56593,2014-08-08 01:02:25,0.0,0,1,0.0,1400.0,0,0,0,0,1400,1400,1400.0,0.0, , ,0,0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,1400,1400,1400.0,0.0,0.0,
173.194.35.32-192.168.1.101-443-56343-6,192.168.1.101,56343,173.194.35.32,443,2014-08-08 01:02:26,0.0,0,1,0.0,1.0,0,0,0,0,1,1,1.0,0.0, , ,0,0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,1,1,1.0,0.0,0.0,
192.168.1.101-173.194.35.32-56343-443-6,173.194.35.32,443,192.168.1.101,56343,2014-08-08 01:02:26,0.0,0,1,0.0,0.0,0,0,0,0,0,0,0.0,0.0, , ,0,0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0.0,0.0,0.0,
192.168.1.101-173.194.35.58-56588-80-6,173.194.35.58,80,192.168.1.101,56588,2014-08-08 01:02:26,0.0,0,1,0.0,0.0,0,0,0,0,0,0,0.0,0.0, , ,0,0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0.0,0.0,0.0,
90.84.136.32-192.168.1.101-80-56599-6,192.168.1.101,56599,90.84.136.32,80,2014-08-08 01:02:27,0.0,0,1,0.0,1.0,0,0,0,0,1,1,1.0,0.0, , ,0,0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,1,1,1.0,0.0,0.0,
70.78.196.95-192.168.1.101-34569-42559-17,192.168.1.101,42559,70.78.196.95,34569,2014-08-08 01:02:28,0.0,0,1,0.0,67.0,0,0,0,0,67,67,67.0,0.0, , ,0,0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,67,67,67.0,0.0,0.0,
173.194.35.58-192.168.1.101-80-56588-6,192.168.1.101,56588,173.194.35.58,80,2014-08-08 01:02:29,0.0,0,1,0.0,0.0,0,0,0,0,0,0,0.0,0.0, , ,0,0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0.0,0.0,0.0,
90.84.59.130-192.168.1.101-443-56669-6,192.168.1.101,56669,90.84.59.130,443,2014-08-08 01:02:30,0.0,0,1,0.0,1.0,0,0,0,0,1,1,1.0,0.0, , ,0,0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,1,1,1.0,0.0,0.0,
90.84.59.130-192.168.1.101-443-56670-6,192.168.1.101,56670,90.84.59.130,443,2014-08-08 01:02:30,0.0,0,1,0.0,1.0,0,0,0,0,1,1,1.0,0.0, , ,0,0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,1,1,1.0,0.0,0.0,
192.168.1.101-90.84.59.130-56669-443-6,90.84.59.130,443,192.168.1.101,56669,2014-08-08 01:02:30,0.0,0,1,0.0,0.0,0,0,0,0,0,0,0.0,0.0, , ,0,0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0.0,0.0,0.0,
192.168.1.101-90.84.59.130-56670-443-6,90.84.59.130,443,192.168.1.101,56670,2014-08-08 01:02:30,0.0,0,1,0.0,0.0,0,0,0,0,0,0,0.0,0.0, , ,0,0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0.0,0.0,0.0,
