Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
157.56.106.184-192.168.1.101-3544-59656-17,192.168.1.101,59656,157.56.106.184,3544,17,07/08/2014 09:02:04 PM,449219,0,2,0.0,170.0,0,0,0,0,109.0,61.0,85.0,33.94112549695428,378.43457200162953,4.452171435313288,449219.0,0.0,449219.0,449219.0,0,0,0,0,0,449219.0,449219.0,0.0,449219.0,449219.0,0,0,0,0,0,16,0.0,4.452171435313288,61.0,109.0,77.0,27.712812921102035,768.0,0,0,0,0,0,0,0,0,0.0,115.5,0.0,85.0,0,0,0,0,0,0,0,0,2,170,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
178.123.13.120-192.168.1.101-26895-42559-17,192.168.1.101,42559,178.123.13.120,26895,17,07/08/2014 09:02:00 PM,347292,0,2,0.0,137.0,0,0,0,0,70.0,67.0,68.5,2.1213203435596424,394.48072515347314,5.758842702970411,347292.0,0.0,347292.0,347292.0,0,0,0,0,0,347292.0,347292.0,0.0,347292.0,347292.0,0,0,0,0,0,16,0.0,5.758842702970411,67.0,70.0,68.0,1.7320508075688772,3.0,0,0,0,0,0,0,0,0,0.0,102.0,0.0,68.5,0,0,0,0,0,0,0,0,2,137,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
192.168.1.101-90.84.136.33-56609-80-6,192.168.1.101,56609,90.84.136.33,80,6,07/08/2014 09:02:12 PM,227998,0,2,0.0,1.0,0,0,0,0,1.0,0.0,0.5,0.7071067811865476,4.386003385994614,8.772006771989227,227998.0,0.0,227998.0,227998.0,0,0,0,0,0,227998.0,227998.0,0.0,227998.0,227998.0,0,0,0,0,0,52,0.0,8.772006771989227,0.0,1.0,0.6666666666666667,0.5773502691896257,0.3333333333333333,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.5,0,0,0,0,0,0,0,0,2,1,-1,20466,0,0,0,0,0,0,0,0,0,0,No Label
192.168.1.101-208.117.231.17-56563-443-6,208.117.231.17,443,192.168.1.101,56563,6,07/08/2014 09:02:01 PM,30232974,62,46,86800.0,1400.0,1400.0,1400.0,1400.0,0.0,1400.0,0.0,30.43478260869564,206.41873861685602,2917.3444861891526,3.5722585545173295,282551.15887850476,457208.56166755664,3185960.0,2.0,2.9372967E7,481524.04918032803,604500.9169233582,3432716.0,2.0,3.0232974E7,671843.8666666668,650086.5442436596,3399490.0,22.0,0,1,0,0,1240,1308,2.0507410220377262,1.5215175324796033,0.0,1400.0,822.0183486238532,692.4671135612971,479510.7033639143,0,0,0,1,1,0,0,0,0.0,829.6296296296297,1400.0,30.434782608695652,0,0,0,0,0,0,62,86800,46,1400,-1,64400,62,0,0,0,0,0,0,0,0,0,No Label
173.194.35.39-192.168.1.101-443-56655-6,192.168.1.101,56655,173.194.35.39,443,6,07/08/2014 09:02:05 PM,6681049,5,6,1253.0,2024.0,1171.0,0.0,250.6,514.9274706208632,1241.0,0.0,337.33333333333337,509.5019790605986,490.49183743451067,1.6464480353309787,668104.9,1122810.2294409378,3764221.0,3.0,5899515.0,1474878.75,1533838.4745601201,3765146.0,583902.0,6681049.0,1336209.8,1579580.2508773336,3979672.0,3.0,0,1,0,0,100,132,0.7483854706049904,0.8980625647259884,0.0,1241.0,276.5,470.93533622896774,221780.0909090909,0,0,0,1,1,0,0,0,1.0,301.6363636363636,250.6,337.3333333333333,0,0,0,0,0,0,5,1253,6,2024,-1,42713,3,0,0,0,0,0,0,0,0,0,No Label
192.168.1.101-90.84.136.33-56583-80-6,192.168.1.101,56583,90.84.136.33,80,6,07/08/2014 09:02:08 PM,224519,0,2,0.0,1.0,0,0,0,0,1.0,0.0,0.5,0.7071067811865476,4.453966034055024,8.907932068110048,224519.0,0.0,224519.0,224519.0,0,0,0,0,0,224519.0,224519.0,0.0,224519.0,224519.0,0,0,0,0,0,52,0.0,8.907932068110048,0.0,1.0,0.6666666666666667,0.5773502691896257,0.3333333333333333,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.5,0,0,0,0,0,0,0,0,2,1,-1,22710,0,0,0,0,0,0,0,0,0,0,No Label
173.194.35.55-192.168.1.101-443-56678-6,192.168.1.101,56678,173.194.35.55,443,6,07/08/2014 09:02:23 PM,1290995,5,7,669.0,268.0,517.0,0.0,133.8,217.69864491999024,166.0,0.0,38.28571428571429,61.33165111564688,725.7967691586722,9.295156061797297,117363.18181818182,141120.36258302216,375169.0,2.0,878153.0,219538.25,184384.79062253662,405904.0,3161.0,1290995.0,215165.8333333333,172527.58990772074,375169.0,2.0,0,0,0,0,100,156,3.8729816924155402,5.422174369381756,0.0,517.0,72.07692307692307,142.70509307569787,20364.74358974359,0,1,0,0,0,0,0,0,1.0,78.08333333333333,133.8,38.285714285714285,0,0,0,0,0,0,5,669,7,268,-1,42383,3,0,0,0,0,0,0,0,0,0,No Label
192.168.1.101-90.84.136.32-56603-80-6,192.168.1.101,56603,90.84.136.32,80,6,07/08/2014 09:02:20 PM,418814,0,2,0.0,1.0,0,0,0,0,1.0,0.0,0.5,0.7071067811865476,2.3876947762013687,4.775389552402737,418814.0,0.0,418814.0,418814.0,0,0,0,0,0,418814.0,418814.0,0.0,418814.0,418814.0,0,0,0,0,0,52,0.0,4.775389552402737,0.0,1.0,0.6666666666666667,0.5773502691896257,0.3333333333333333,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.5,0,0,0,0,0,0,0,0,2,1,-1,15544,0,0,0,0,0,0,0,0,0,0,No Label
173.194.35.55-192.168.1.101-443-56676-6,192.168.1.101,56676,173.194.35.55,443,6,07/08/2014 09:02:23 PM,1448,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1381.2154696132595,1448.0,0.0,1448.0,1448.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,690.6077348066298,690.6077348066298,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,64400,0,0,0,0,0,0,0,0,0,0,No Label
192.168.1.101-90.84.59.130-56670-443-6,192.168.1.101,56670,90.84.59.130,443,6,07/08/2014 09:02:30 PM,251624,0,2,0.0,1.0,0,0,0,0,1.0,0.0,0.5,0.7071067811865476,3.974183702667472,7.948367405334944,251624.0,0.0,251624.0,251624.0,0,0,0,0,0,251624.0,251624.0,0.0,251624.0,251624.0,0,0,0,0,0,52,0.0,7.948367405334944,0.0,1.0,0.6666666666666667,0.5773502691896257,0.3333333333333333,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.5,0,0,0,0,0,0,0,0,2,1,-1,17688,0,0,0,0,0,0,0,0,0,0,No Label
